celebrity_name,ballroom_partner,celebrity_industry,celebrity_homestate,celebrity_homecountry/region,celebrity_age_during_season,season,results,placement,week1_judge1_score,week1_judge2_score,week1_judge3_score,week1_judge4_score,week2_judge1_score,week2_judge2_score,week2_judge3_score,week2_judge4_score,week3_judge1_score,week3_judge2_score,week3_judge3_score,week3_judge4_score,week4_judge1_score,week4_judge2_score,week4_judge3_score,week4_judge4_score,week5_judge1_score,week5_judge2_score,week5_judge3_score,week5_judge4_score,week6_judge1_score,week6_judge2_score,week6_judge3_score,week6_judge4_score,week7_judge1_score,week7_judge2_score,week7_judge3_score,week7_judge4_score,week8_judge1_score,week8_judge2_score,week8_judge3_score,week8_judge4_score,week9_judge1_score,week9_judge2_score,week9_judge3_score,week9_judge4_score,week10_judge1_score,week10_judge2_score,week10_judge3_score,week10_judge4_score,week11_judge1_score,week11_judge2_score,week11_judge3_score,week11_judge4_score,avg_judge_score
Stacy Keibler,Tony Dovolani,Athlete,Maryland,United States,26,2,3rd Place,3,8,6,8,N/A,9,10,10,N/A,9,9,9,N/A,8,9,9,N/A,10,10,10,N/A,10,10,10,N/A,9,9,9.5,N/A,9.3333,9.6666,9.6666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.1736
Jerry Rice,Anna Trebunskaya,Athlete,Mississippi,United States,43,2,2nd Place,2,7,7,7,N/A,7,8,8,N/A,7,6,6,N/A,8,8,8,N/A,7,8,8,N/A,8,7,8,N/A,7,7,6.5,N/A,9,9,8.6666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.5069
Giselle Fernandez,Jonathan Roberts,News Anchor,,Mexico,44,2,Eliminated Week 3,8,7,8,8,N/A,8,8,8,N/A,7,8,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.6667
Master P,Ashly DelGrosso,Singer/Rapper,Louisiana,United States,35,2,Eliminated Week 4,7,4,4,4,N/A,6,5,5,N/A,6,4,4,N/A,4,2,2,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.1667
Drew Lachey,Cheryl Burke,Singer/Rapper,Ohio,United States,29,2,1st Place,1,8,8,8,N/A,9,9,9,N/A,9,9,9,N/A,9,9,10,N/A,9,9,9,N/A,10,10,10,N/A,9.5,9,9,N/A,9.6666,9.6666,9.6666,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.1458
Kenny Mayne,Andrea Hale,Sports Broadcaster,Washington,United States,46,2,Eliminated Week 1,10,4,5,4,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.3333
Harry Hamlin,Ashly DelGrosso,Actor/Actress,California,United States,54,3,Eliminated Week 3,9,5,6,6,N/A,7,7,7,N/A,7,8,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.6667
Vivica A. Fox,Nick Kosovich,Actor/Actress,Indiana,United States,42,3,Eliminated Week 4,8,6,8,8,N/A,8,8,8,N/A,9,9,9,N/A,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.0833
Monique Coleman,Louis van Amstel,Actor/Actress,South Carolina,United States,25,3,Eliminated Week 8,4,6,6,7,N/A,9,8,9,N/A,9,9,9,N/A,8,8,8,N/A,9,9,9,N/A,9,7,7,N/A,9,9,9,N/A,8.5,9,9,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.3125
Joey Lawrence,Edyta Sliwinska,Actor/Actress,Pennsylvania,United States,30,3,3rd Place,3,7,7,7,N/A,10,9,10,N/A,8,6,8,N/A,9,9,9,N/A,8,8,9,N/A,8,8,8,N/A,9.5,9,10,N/A,9.5,8.5,9,N/A,9.5,10,10,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.6296
Mario Lopez,Karina Smirnoff,Actor/Actress,California,United States,32,3,2nd Place,2,9,8,9,N/A,7,6,8,N/A,8,6,8,N/A,10,9,10,N/A,9,9,9,N/A,9,9,10,N/A,9.5,9,9.5,N/A,9.5,9,10,N/A,10,9.5,10,N/A,10,10,9.6666,N/A,N/A,N/A,N/A,N/A,8.9556
Emmitt Smith,Cheryl Burke,Athlete,Florida,United States,37,3,1st Place,1,8,8,8,N/A,8,8,8,N/A,7,6,6,N/A,8,8,8,N/A,9,9,9,N/A,8,8,9,N/A,10,9.5,9,N/A,8.5,9,9.5,N/A,9.5,10,10,N/A,10,9.6666,10,N/A,N/A,N/A,N/A,N/A,8.5889
Shanna Moakler,Jesse DeSoto,Model,Rhode Island,United States,31,3,Eliminated Week 2,10,7,5,6,N/A,8,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.6667
Willa Ford,Maksim Chmerkoskiy,Singer/Rapper,Florida,United States,25,3,Eliminated Week 5,7,7,7,8,N/A,7,8,8,N/A,7,7,8,N/A,9,9,10,N/A,9,9,9,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.1333
Sara Evans,Tony Dovolani,Singer/Rapper,Missouri,United States,35,3,Withdrew,6,5,5,5,N/A,7,7,7,N/A,8,9,8,N/A,6,7,7,N/A,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.0000
Jerry Springer,Kym Johnson,TV Personality,,England,62,3,Eliminated Week 7,5,5,5,6,N/A,7,6,6,N/A,7,7,7,N/A,7,7,8,N/A,8,8,8,N/A,7,6,5,N/A,7.5,8,7.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.8095
Tucker Carlson,Elena Grinenko,TV Personality,California,United States,37,3,Eliminated Week 1,11,5,4,3,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,4.0000
John Ratzenberger,Edyta Sliwinska,Actor/Actress,Connecticut,United States,59,4,Eliminated Week 7,6,6,5,6,N/A,7,7,7,N/A,7,6,7,N/A,6,5,5,N/A,6,6,6,N/A,7,6,6,N/A,7.5,7.5,7.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.3571
Ian Ziering,Cheryl Burke,Actor/Actress,New Jersey,United States,42,4,Eliminated Week 9,4,7,7,7,N/A,7,8,7,N/A,8,8,8,N/A,7,9,8,N/A,8,8,8,N/A,8,8,8,N/A,9,9,9,N/A,8,7.5,8,N/A,9.5,10,9.5,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.0926
Clyde Drexler,Elena Grinenko,Athlete,Louisiana,United States,44,4,Eliminated Week 5,8,6,5,5,N/A,6,6,6,N/A,6,5,5,N/A,6,4,5,N/A,4,5,4,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.2000
Laila Ali,Maksim Chmerkoskiy,Athlete,Florida,United States,29,4,3rd Place,3,7,8,8,N/A,9,9,9,N/A,7,7,7,N/A,7,7,7,N/A,9,10,9,N/A,9,9,10,N/A,10,9.5,10,N/A,9,8.5,9,N/A,10,10,10,N/A,9.6666,9,9.6666,N/A,N/A,N/A,N/A,N/A,8.7444
Apolo Anton Ohno,Julianne Hough,Athlete,Washington,United States,24,4,1st Place,1,7,7,7,N/A,8,9,9,N/A,7,8,8,N/A,9,8,9,N/A,10,10,10,N/A,9,9,10,N/A,9,8.5,9.5,N/A,10,9,10,N/A,10,9.5,10,N/A,9.6666,9.6666,10,N/A,N/A,N/A,N/A,N/A,8.9611
Shandi Finnessey,Brian Fortuna,Beauty Pagent,Missouri,United States,28,4,Eliminated Week 3,10,6,6,7,N/A,6,7,7,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.6667
Paulina Porizkova,Alec Mazo,Model,,Czechoslovakia,41,4,Eliminated Week 2,11,6,6,7,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.6667
Heather Mills,Jonathan Roberts,Model,,England,39,4,Eliminated Week 6,7,6,6,6,N/A,8,8,8,N/A,8,8,8,N/A,7,8,8,N/A,7,7,7,N/A,7,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.3889
Billy Ray Cyrus,Karina Smirnoff,Singer/Rapper,Kentucky,United States,45,4,Eliminated Week 8,5,5,4,4,N/A,7,7,7,N/A,7,7,7,N/A,7,7,7,N/A,6,6,5,N/A,7,7,7,N/A,6,6.5,6.5,N/A,6.5,6.5,6,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.3333
Joey Fatone,Kym Johnson,Singer/Rapper,New York,United States,30,4,2nd Place,2,8,8,8,N/A,8,8,8,N/A,8,8,8,N/A,10,9,9,N/A,8,8,9,N/A,9,9,9,N/A,10,9.5,10,N/A,9.5,9,9,N/A,10,10,10,N/A,9.6666,9.3333,9.6666,N/A,N/A,N/A,N/A,N/A,8.9222
Leeza Gibbons,Tony Dovolani,TV Personality,South Carolina,United States,50,4,Eliminated Week 4,9,5,5,5,N/A,7,7,7,N/A,8,8,8,N/A,6,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.3333
Cameron Mathison,Edyta Sliwinska,Actor/Actress,,Canada,38,5,Eliminated Week 8,5,7,7,7,N/A,7,7,7,N/A,8,7,8,N/A,9,9,9,N/A,8,9,9,N/A,9,8,8,N/A,8.5,8.5,8.5,N/A,8.5,8.5,8.5,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.0833
Jane Seymour,Tony Dovolani,Actor/Actress,,England,56,5,Eliminated Week 7,6,8,8,8,N/A,7,7,7,N/A,9,9,9,N/A,8,9,9,N/A,8,9,9,N/A,8,7,7,N/A,8,8.5,8.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.1429
Sabrina Bryan,Mark Ballas,Actor/Actress,California,United States,23,5,Eliminated Week 6,7,9,8,9,N/A,9,8,9,N/A,9,9,9,N/A,10,10,10,N/A,9,9,10,N/A,9,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,9.0000
Jennie Garth,Derek Hough,Actor/Actress,Illinois,United States,35,5,Eliminated Week 9,4,7,7,7,N/A,7,7,7,N/A,9,8,9,N/A,8,10,9,N/A,8,9,8,N/A,9,9,9,N/A,8.5,8.5,9.5,N/A,8.5,8.5,8,N/A,9.5,10,9.5,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.4259
Floyd Mayweather Jr. ,Karina Smirnoff,Athlete,Michigan,United States,30,5,Eliminated Week 4,9,6,6,6,N/A,7,7,7,N/A,7,7,7,N/A,7,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.9167
Josie Maran,Alec Mazo,Model,California,United States,29,5,Eliminated Week 1,12,6,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.3333
Albert Reed,Anna Trebunskaya,Model,Florida,United States,22,5,Eliminated Week 2,11,7,7,7,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.0000
Helio Castroneves,Julianne Hough,Racing Driver,,Brazil,32,5,1st Place,1,8,9,8,N/A,9,9,9,N/A,8,8,8,N/A,9,9,9,N/A,8,7,8,N/A,9,10,9,N/A,9,8.5,8.5,N/A,9.5,9.5,9.5,N/A,10,10,10,N/A,9,9.3333,9.6666,N/A,N/A,N/A,N/A,N/A,8.8833
Mel B,Maksim Chmerkoskiy,Singer/Rapper,,England,32,5,2nd Place,2,8,8,8,N/A,7,8,8,N/A,9,9,9,N/A,8,9,9,N/A,10,9,10,N/A,10,10,10,N/A,9,9,9,N/A,9,9.5,9.5,N/A,10,10,10,N/A,9.3333,9.3333,9.6666,N/A,N/A,N/A,N/A,N/A,9.0778
Wayne Newton,Cheryl Burke,Singer/Rapper,Virginia,United States,65,5,Eliminated Week 3,10,6,7,6,N/A,5,5,5,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.7778
Marie Osmond,Jonathan Roberts,Singer/Rapper,Utah,United States,47,5,3rd Place,3,7,7,7,N/A,8,8,8,N/A,9,8,9,N/A,9,9,8,N/A,7,7,7,N/A,8,8,7,N/A,9,8.5,8.5,N/A,8,8.5,8,N/A,9.5,9.5,9,N/A,8,7.5,7.5,N/A,N/A,N/A,N/A,N/A,8.0833
Mark Cuban,Kym Johnson,TV Personality,Pennsylvania,United States,49,5,Eliminated Week 5,8,7,7,7,N/A,6,6,6,N/A,6,7,7,N/A,7,8,7,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.8000
Cristian de la Fuente,Cheryl Burke,Actor/Actress,,Chile,34,6,3rd Place,3,7,7,7,N/A,7,6,7,N/A,8,8,9,N/A,9,8,9,N/A,7,8,8,N/A,9,9,9,N/A,7.5,7.5,8,N/A,10,9,9.5,N/A,9.5,9,9.5,N/A,9,8,9,N/A,N/A,N/A,N/A,N/A,8.2500
Steve Guttenberg,Anna Trebunskaya,Actor/Actress,New York,United States,49,6,Eliminated Week 3,10,6,6,6,N/A,6,5,5,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.1111
Priscilla Presley,Louis van Amstel,Actor/Actress,New York,United States,62,6,Eliminated Week 5,8,8,8,8,N/A,7,7,7,N/A,8,9,9,N/A,7,7,8,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.6000
Marlee Matlin,Fabian Sanchez,Actor/Actress,Illinois,United States,42,6,Eliminated Week 6,7,7,7,8,N/A,8,8,8,N/A,7,7,7,N/A,8,8,8,N/A,7,7,8,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.4444
Shannon Elizabeth,Derek Hough,Actor/Actress,Texas,United States,34,6,Eliminated Week 7,6,7,7,7,N/A,8,8,8,N/A,8,8,8,N/A,9,10,9,N/A,8,8,7,N/A,8,8,8,N/A,8.5,8.5,8.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.0714
Marissa Jaret Winokur,Tony Dovolani,Actor/Actress,New York,United States,35,6,Eliminated Week 9,4,6,6,6,N/A,7,7,7,N/A,6,7,6,N/A,8,8,8,N/A,8,8,8,N/A,9,8,9,N/A,9,8.5,8.5,N/A,8.5,8,8.5,N/A,8.5,9,8.5,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.7407
Jason Taylor,Edyta Sliwinska,Athlete,Pennsylvania,United States,33,6,2nd Place,2,7,8,7,N/A,9,9,9,N/A,8,7,8,N/A,10,9,10,N/A,9,9,9,N/A,8,8,8,N/A,9.5,8.5,9.5,N/A,9,8,9,N/A,9,9.5,9,N/A,9.5,9.5,9.5,N/A,N/A,N/A,N/A,N/A,8.7167
Kristi Yamaguchi,Mark Ballas,Athlete,California,United States,36,6,1st Place,1,9,9,9,N/A,9,9,9,N/A,9,9,9,N/A,10,9,10,N/A,9,10,10,N/A,10,10,10,N/A,9.5,8,9.5,N/A,8.5,9.5,9.5,N/A,9.5,9,10,N/A,10,10,10,N/A,N/A,N/A,N/A,N/A,9.4000
Monica Seles,Jonathan Roberts,Athlete,,Yugoslavia,34,6,Eliminated Week 2,11,5,5,5,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.0000
Penn Jillette,Kym Johnson,Magician,Massachusetts,United States,53,6,Eliminated Week 2,12,5,6,5,N/A,6,6,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.5000
Adam Carolla,Julianne Hough,Radio Personality,California,United States,43,6,Eliminated Week 4,9,5,5,5,N/A,6,7,6,N/A,7,7,7,N/A,6,7,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.1667
Mario,Karina Smirnoff,Singer/Rapper,Maryland,United States,21,6,Eliminated Week 8,5,8,8,8,N/A,9,8,9,N/A,7,6,8,N/A,8,7,9,N/A,9,9,9,N/A,9,9,10,N/A,8.5,8.5,8.5,N/A,9,8.5,9,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,8.4167
Ted McGinley,Inna Brayer,Actor/Actress,California,United States,50,7,Eliminated Week 1,12,6,6,6.5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,6.1667
Cloris Leachman,Corky Ballas,Actor/Actress,Iowa,United States,82,7,Eliminated Week 6,7,6,5,5,N/A,5,5,5,N/A,6,5,5,N/A,8,7,7,N/A,7,7,7,N/A,5,5,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.8333
Susan Lucci,Tony Dovolani,Actor/Actress,New York,United States,61,7,Eliminated Week 7,6,6,6,6.5,N/A,7,7,7,N/A,7,7,7,N/A,8,8,8,N/A,7,7,8,N/A,8,8,7,N/A,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.3095
Cody Linley,Julianne Hough,Actor/Actress,Texas,United States,18,7,Eliminated Week 9,4,7,6.5,7,N/A,7,7,7,N/A,7,7,7,N/A,7,8,8,N/A,10,9,9,N/A,8,8,7,N/A,8,7,7,N/A,8,8,8,N/A,8,7.5,7.5,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.6111
Misty May-Treanor,Maksim Chmerkoskiy,Athlete,California,United States,31,7,Withdrew,10,6.5,7.5,7,N/A,7,7,7,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.0000
Maurice Greene,Cheryl Burke,Athlete,Kansas,United States,34,7,Eliminated Week 8,5,6.5,6.5,6.5,N/A,7,6,6,N/A,8,8,8,N/A,6,7,7,N/A,9,9,9,N/A,7,7,7,N/A,8,9,8,N/A,8,8,8,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.4792
Warren Sapp,Kym Johnson,Athlete,Florida,United States,35,7,2nd Place,2,7,7,7.5,N/A,8,8,8,N/A,9,8,8,N/A,8,7,7,N/A,8,8,9,N/A,8,9,8,N/A,7,7,7,N/A,9.5,8.5,9,N/A,8.5,8,8,N/A,9,9.5,9,N/A,N/A,N/A,N/A,N/A,8.0833
Jeffrey Ross,Edyta Sliwinska,Comedian,New Jersey,United States,43,7,Eliminated Week 1,13,4,4,4,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,4.0000
Toni Braxton,Alec Mazo,Singer/Rapper,Maryland,United States,40,7,Eliminated Week 5,8,7.5,7,8,N/A,7,8,8,N/A,8,7,7,N/A,7,7,8,N/A,7,7,8,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,7.4333
Lance Bass,Lacey Schwimmer,Singer/Rapper,Mississippi,United States,29,7,3rd Place,3,7.5,6,8,N/A,7,6,7,N/A,8,7,7,N/A,9,8,9,N/A,7,7,7,N/A,9,9,9,N/A,9,7,9,N/A,8.5,7.5,9,N/A,10,9,9.5,N/A,9,9,9.5,N/A,N/A,N/A,N/A,N/A,8.1167
Kim Kardashian,Mark Ballas,TV Personality,California,United States,27,7,Eliminated Week 2,11,6,6.5,6,N/A,6,6,5,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.9167
Rocco DiSpirito,Karina Smirnoff,TV Personality,New York,United States,41,7,Eliminated Week 4,9,6,5.5,6,N/A,5,6,5,N/A,7,7,6,N/A,6,6,6,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,5.9583
